Business Name,Industry,Website,Contact Email,Contact Form,Phone,Owner/Manager,Location,Notes,Likely Need,Outreach Sent,Follow-up 1,Follow-up 2,Response,Status
River View Family Eyecare,Optometry,https://www.rivervieweye.com/,,,,Albany OR,"Healthcare/privacy context; patient communications and website exposure worth reviewing",website + email/domain review,,,,,Not contacted
Albany Vision Therapy,Vision Therapy,https://www.albanyvisiontherapy.com/,,,,Albany OR,"Healthcare/privacy context; likely good candidate for MFA and website review",website + MFA guidance,,,,,Not contacted
Albany Target 3,Law Office,,,,,,Albany OR,"Fill with verified local business contact",security checkup,,,,,Not contacted
Albany Target 4,Accounting/Tax Firm,,,,,,Albany OR,"Fill with verified local business contact",email/domain review,,,,,Not contacted
Albany Target 5,Insurance Agency,,,,,,Albany OR,"Fill with verified local business contact",MFA/password guidance,,,,,Not contacted
Albany Target 6,Real Estate/Property Management,,,,,,Albany OR,"Fill with verified local business contact",external exposure review,,,,,Not contacted
Albany Target 7,Dental/Medical Clinic,,,,,,Albany OR,"Fill with verified local business contact",security checkup,,,,,Not contacted
Albany Target 8,Manufacturer,,,,,,Albany OR,"Fill with verified local business contact",external exposure review,,,,,Not contacted
Albany Target 9,Retail/E-commerce,,,,,,Albany OR,"Fill with verified local business contact",website review,,,,,Not contacted
Albany Target 10,Auto Dealer/Service Group,,,,,,Albany OR,"Fill with verified local business contact",general security checkup,,,,,Not contacted
